timestamp,session_id,agent_id,backend,model,path,stream,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,request_bytes,response_bytes,ttfb_ms,duration_ms,error_status,error_code,error_message,router_version
2026-07-31T08:21:15.084+00:00,,,lmstudio,<your-lmstudio-id>,/v1/messages,true,,,,,,123,0,,4596,client_disconnect,client_disconnect,The caller went away before the reply finished.,0.1.0
2026-07-31T08:21:39.743+00:00,,,lmstudio,qwen/qwen3.5-9b,/v1/messages,true,14,15,0,,end_turn,120,1992,2927,2993,ok,,,0.1.0
2026-07-31T08:29:21.895+00:00,session-01,,anthropic,claude-sonnet-5,/v1/messages,,,,,,,313,114,796,798,http_error,429,Error,0.1.0
2026-07-31T08:30:47.107+00:00,session-02,,lmstudio,qwen/qwen3.5-9b,/v1/messages,,13,0,0,,max_tokens,313,284,2905,2905,ok,,,0.1.0
2026-07-31T08:34:32.369+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,,,,,,,313,114,692,693,http_error,429,Error,0.1.0
2026-07-31T08:34:37.192+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,13,0,63157,end_turn,177713,1643,2754,4000,ok,,,0.1.0
2026-07-31T08:35:05.348+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,702,18,0,0,end_turn,2182,1602,1092,2238,ok,,,0.1.0
2026-07-31T08:35:05.350+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,425,63157,20,end_turn,177851,5060,1254,7027,ok,,,0.1.0
2026-07-31T08:35:12.388+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,504,10,63177,424,end_turn,181021,1617,1370,2086,ok,,,0.1.0
2026-07-31T08:35:42.216+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,180,63601,15,tool_use,179656,5899,4400,6381,ok,,,0.1.0
2026-07-31T08:35:49.284+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,484,63616,304,tool_use,180865,25086,1446,3954,ok,,,0.1.0
2026-07-31T08:35:56.049+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,22,63920,563,end_turn,182456,1642,1287,1525,ok,,,0.1.0
2026-07-31T08:35:57.581+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,504,20,64483,22,end_turn,184034,1648,924,1682,ok,,,0.1.0
2026-07-31T08:36:13.690+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,159,64505,16,tool_use,182664,5025,2474,4052,ok,,,0.1.0
2026-07-31T08:36:20.341+00:00,session-03,,anthropic,claude-sonnet-5,/v1/messages,true,2,220,64521,412,end_turn,184057,2808,882,3158,ok,,,0.1.0
